Município;Código do Município;Total_Matriculas_EPT
    ; ;4310112
 Abadia dos Dourados  ;3100104;985
 Abaeté  ;3100203;4128
 Abre Campo  ;3100302;2390
 Acaiaca  ;3100401;897
 Açucena  ;3100500;1485
 Água Boa  ;3100609;2973
 Água Comprida  ;3100708;402
 Aguanil  ;3100807;874
 Águas Formosas  ;3100906;4023
 Águas Vermelhas  ;3101003;2969
 Aimorés  ;3101102;4873
 Aiuruoca  ;3101201;915
 Alagoa  ;3101300;474
 Albertina  ;3101409;619
 Além Paraíba  ;3101508;6978
 Alfenas  ;3101607;16505
 Alfredo Vasconcelos  ;3101631;1211
 Almenara  ;3101706;8993
 Alpercata  ;3101805;1309
 Alpinópolis  ;3101904;3794
 Alterosa  ;3102001;2549
 Alto Caparaó  ;3102050;1282
 Alto Jequitibá  ;3153509;1393
 Alto Rio Doce  ;3102100;1835
 Alvarenga  ;3102209;895
 Alvinópolis  ;3102308;2630
 Alvorada de Minas  ;3102407;970
 Amparo do Serra  ;3102506;794
 Andradas  ;3102605;6972
 Andrelândia  ;3102803;1966
 Angelândia  ;3102852;1815
 Antônio Carlos  ;3102902;1955
 Antônio Dias  ;3103009;1714
 Antônio Prado de Minas  ;3103108;320
 Araçaí  ;3103207;437
 Aracitaba  ;3103306;265
 Araçuaí  ;3103405;8246
 Araguari  ;3103504;23114
 Arantina  ;3103603;560
 Araponga  ;3103702;1335
 Araporã  ;3103751;1924
 Arapuá  ;3103801;469
 Araújos  ;3103900;1865
 Araxá  ;3104007;26318
 Arceburgo  ;3104106;1797
 Arcos  ;3104205;8892
 Areado  ;3104304;2796
 Argirita  ;3104403;482
 Aricanduva  ;3104452;1174
 Arinos  ;3104502;4836
 Astolfo Dutra  ;3104601;2123
 Ataléia  ;3104700;2221
 Augusto de Lima  ;3104809;856
 Baependi  ;3104908;3119
 Baldim  ;3105004;1354
 Bambuí  ;3105103;4417
 Bandeira  ;3105202;767
 Bandeira do Sul  ;3105301;1301
 Barão de Cocais  ;3105400;7571
 Barão de Monte Alto  ;3105509;947
 Barbacena  ;3105608;29814
 Barra Longa  ;3105707;881
 Barroso  ;3105905;4092
 Bela Vista de Minas  ;3106002;1887
 Belmiro Braga  ;3106101;674
 Belo Horizonte  ;3106200;497457
 Belo Oriente  ;3106309;5207
 Belo Vale  ;3106408;1475
 Berilo  ;3106507;1805
 Berizal  ;3106655;1034
 Bertópolis  ;3106606;1485
 Betim  ;3106705;96373
 Bias Fortes  ;3106804;480
 Bicas  ;3106903;2721
 Biquinhas  ;3107000;391
 Boa Esperança  ;3107109;8787
 Bocaina de Minas  ;3107208;551
 Bocaiúva  ;3107307;11961
 Bom Despacho  ;3107406;10416
 Bom Jardim de Minas  ;3107505;1351
 Bom Jesus da Penha  ;3107604;895
 Bom Jesus do Amparo  ;3107703;1225
 Bom Jesus do Galho  ;3107802;2335
 Bom Repouso  ;3107901;2490
 Bom Sucesso  ;3108008;2938
 Bonfim  ;3108107;1016
 Bonfinópolis de Minas  ;3108206;1739
 Bonito de Minas  ;3108255;2253
 Borda da Mata  ;3108305;2797
 Botelhos  ;3108404;2668
 Botumirim  ;3108503;1361
 Brás Pires  ;3108701;740
 Brasilândia de Minas  ;3108552;3981
 Brasília de Minas  ;3108602;8497
 Braúnas  ;3108800;669
 Brazópolis  ;3108909;2695
 Brumadinho  ;3109006;7917
