Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Brasil  ;    ;    ; ; 47.304.632 ; 23.382.759 ; 5.979.385 ; 7.610.053 ; 849.683 ; 8.660.364 ; 100.634 ; 182.640 ; 23.921.873 ; 6.091.437 ; 7.675.693 ; 884.560 ; 8.982.269 ; 99.160 ; 188.754 ;;;;;;;;;;
 Norte  ;    ;    ; ; 4.776.303 ; 2.351.834 ; 699.664 ; 245.075 ; 44.025 ; 1.271.936 ; 5.604 ; 85.530 ; 2.424.469 ; 720.286 ; 237.493 ; 48.918 ; 1.322.512 ; 5.628 ; 89.632 ;;;;;;;;;;
 Norte  ; Rondônia  ;    ;   ; 388.322 ; 191.178 ; 22.849 ; 47.441 ; 5.019 ; 112.186 ; 902 ; 2.781 ; 197.144 ; 24.015 ; 46.485 ; 5.673 ; 117.244 ; 918 ; 2.809 ;;;;;;;;;;
 Norte  ; Rondônia  ; Alta Floresta D'Oeste  ;1100015; 4.985 ; 2.439 ; 6 ; 876 ; 33 ; 1.328 ; 4 ; 192 ; 2.546 ; 9 ; 845 ; 43 ; 1.472 ; 6 ; 171 ;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Alegre dos Parecis  ;1100379; 2.567 ; 1.283 ; 1 ; 360 ; 39 ; 844 ; 20 ; 19 ; 1.284 ; -   ; 386 ; 42 ; 826 ; 17 ; 13 ;;;;;;;;;;
 Norte  ; Rondônia  ; Alto Paraíso  ;1100403; 3.163 ; 1.568 ; 194 ; 389 ; 108 ; 867 ; 8 ; 2 ; 1.595 ; 240 ; 410 ; 102 ; 821 ; 22 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Alvorada D'Oeste  ;1100346; 2.850 ; 1.384 ; 125 ; 378 ; 37 ; 842 ; 1 ; 1 ; 1.466 ; 124 ; 401 ; 51 ; 883 ; 5 ; 2 ;;;;;;;;;;
 Norte  ; Rondônia  ; Ariquemes  ;1100023; 22.892 ; 11.227 ; 739 ; 3.339 ; 607 ; 6.406 ; 117 ; 19 ; 11.665 ; 774 ; 3.351 ; 663 ; 6.758 ; 106 ; 13 ;;;;;;;;;;
 Norte  ; Rondônia  ; Buritis  ;1100452; 6.918 ; 3.472 ; 127 ; 1.036 ; 85 ; 2.206 ; 16 ; 2 ; 3.446 ; 137 ; 1.056 ; 106 ; 2.137 ; 9 ; 1 ;;;;;;;;;;
 Norte  ; Rondônia  ; Cabixi  ;1100031; 1.241 ; 614 ; 47 ; 283 ; 5 ; 279 ; -   ; -   ; 627 ; 38 ; 284 ; 6 ; 299 ; -   ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Cacaulândia  ;1100601; 1.028 ; 474 ; -   ; 147 ; 29 ; 291 ; 7 ; -   ; 554 ; -   ; 149 ; 43 ; 354 ; 8 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Cacoal  ;1100049; 20.487 ; 10.307 ; 54 ; 3.595 ; 306 ; 6.014 ; 37 ; 301 ; 10.180 ; 63 ; 3.333 ; 294 ; 6.156 ; 23 ; 311 ;;;;;;;;;;
 Norte  ; Rondônia  ; Campo Novo de Rondônia  ;1100700; 2.302 ; 1.095 ; 42 ; 324 ; 29 ; 697 ; 2 ; 1 ; 1.207 ; 65 ; 334 ; 36 ; 768 ; 2 ; 2 ;;;;;;;;;;
 Norte  ; Rondônia  ; Candeias do Jamari  ;1100809; 5.809 ; 2.841 ; 822 ; 407 ; 79 ; 1.516 ; 9 ; 8 ; 2.968 ; 851 ; 453 ; 81 ; 1.572 ; 3 ; 8 ;;;;;;;;;;
 Norte  ; Rondônia  ; Castanheiras  ;1100908; 650 ; 319 ; 32 ; 86 ; 6 ; 194 ; -   ; 1 ; 331 ; 37 ; 88 ; 7 ; 198 ; -   ; 1 ;;;;;;;;;;
